Make,Model,First Registration,Kilometrage,Body,Body Color,Body Color Original,Country version,Emission Class,Ffuel,Fuel,Gearing Type,Gears,Last Service Date,Nr. of Doors,Nr. of Seats,Offer Number,Paint Type,Previous Owners,Price,Status,Title,Type,Upholstery,Warranty,Weight,Ch,index,kW,km,link,transmission
Renault,Kangoo,2017,"12,722 km",Transporter,White,BLANC,,,"Automatic, Electric",Electric,Automatic,,,3,,11179,,,"€ 13,490.-",Used,We have developed a new application design for you:,Used,,6 months,,61 hp,10,45 kW,"12,722 km",https://www.autoscout24.com//offers/renault-kangoo-ii-express-ze-maxi-grand-volume-grand-confort-electric-white-464ca1ee-c4cc-4ea6-a8bb-4456744af48a,"Automatic, Electric"
Nissan,Leaf,2015,"31,700 km",Sedans,White,blanc,,,"Automatic, Electric",Electric,Automatic,,,5,5,29majuz,,,"€ 10,890.-",Used,We have developed a new application design for you:,Used,,6 months,,109 hp,11,80 kW,"31,700 km",https://www.autoscout24.com//offers/nissan-leaf-2-109hp-visia-auto-electric-white-608aabc6-7c8b-4408-8b27-f49c8805ad03,"Automatic, Electric"
Nissan,Leaf,2019,"6,000 km",Sedans,Bronze,BRONZE ULTIME,,,"Automatic, Electric",Electric,Automatic,,,5,,96192,,,"€ 17,999.-",Used,We have developed a new application design for you:,Used,,12 months,,110 hp,12,81 kW,"6,000 km",https://www.autoscout24.com//offers/nissan-leaf-109ch-30kwh-tekna-electric-bronze-dd9602fb-a114-4fd1-8636-c62b790a4fbb,"Automatic, Electric"
BMW,i3,2019,"2,349 km",Sedans,Blue,IMPERIAL BLAU,,,"Automatic, Electric",Electric,Automatic,,,5,,RAB2020427,,,"€ 29,876.-",Used,We have developed a new application design for you:,Used,,24 months,,173 hp,13,127 kW,"2,349 km",https://www.autoscout24.com//offers/bmw-i3-170ch-120ah-edition-360-loft-electric-blue-c601eeb0-b002-407a-81aa-a27ca6a55281,"Automatic, Electric"
Renault,ZOE,2015,"25,605 km",Sedans,Grey,GRIS,,,"Automatic, Electric",Electric,Automatic,,,5,,losa-DY-442-HA,,,"€ 8,490.-",Used,We have developed a new application design for you:,Used,,6 months,,90 hp,14,66 kW,"25,605 km",https://www.autoscout24.com//offers/renault-zoe-zen-charge-normale-electric-grey-3836f5d1-320f-4432-bb23-b7d68422532f,"Automatic, Electric"
Nissan,Leaf,2019,"30,832 km",Compact,Black,NOIR,,,"Automatic, Electric",Electric,Automatic,,,5,,32756,,,"€ 11,590.-",Used,We have developed a new application design for you:,Used,,6 months,,110 hp,15,81 kW,"30,832 km",https://www.autoscout24.com//offers/nissan-leaf-109ch-24kwh-visia-electric-black-6965dcd9-026d-4acf-bae2-de5a261c2def,"Automatic, Electric"
Renault,ZOE,2015,"78,574 km",Sedans,Grey,GRIS,,,"Automatic, Electric",Electric,Automatic,,,5,5,re62c10-DT-298-EL,,,"€ 8,490.-",Used,We have developed a new application design for you:,Used,,6 months,,90 hp,16,66 kW,"78,574 km",https://www.autoscout24.com//offers/renault-zoe-intens-charge-normale-electric-grey-90b83e6b-6eda-456d-b7d7-ad74f42ed2fd,"Automatic, Electric"
Renault,ZOE,2014,"65,395 km",Sedans,Blue,Bleu Azur,,,"Automatic, Electric",Electric,Automatic,,,5,,20415,,,"€ 7,499.-",Used,We have developed a new application design for you:,Used,,12 months,,90 hp,17,66 kW,"65,395 km",https://www.autoscout24.com//offers/renault-zoe-life-charge-rapide-electric-blue-0c47ffb5-54ac-4b19-b986-d735234ad554,"Automatic, Electric"
Renault,ZOE,2017,"36,718 km",Sedans,Blue,BLEU,,,"Automatic, Electric",Electric,Automatic,,,5,5,re62c4-EL-752-JJ,,,"€ 12,390.-",Used,We have developed a new application design for you:,Used,,6 months,,94 hp,18,69 kW,"36,718 km",https://www.autoscout24.com//offers/renault-zoe-intens-charge-normale-r90-electric-blue-78e9521a-aa20-4f0a-a53a-703671fe369c,"Automatic, Electric"
Renault,ZOE,2017,"23,066 km",Sedans,White,BLANC,,,"Automatic, Electric",Electric,Automatic,,,5,5,mase-EJ-256-HK,,,"€ 11,490.-",Used,We have developed a new application design for you:,Used,,12 months,,94 hp,19,69 kW,"23,066 km",https://www.autoscout24.com//offers/renault-zoe-intens-charge-normale-r90-250-km-d-autonomie-av-electric-white-fea516d7-82e1-4228-b1ee-cfb24d97675c,"Automatic, Electric"
Renault,Kangoo,2014,"14,235 km",Sedans,White,blanc,,,"Automatic, Electric",Electric,Automatic,,,4,,VO193165,,,"€ 8,490.-",Used,We have developed a new application design for you:,Used,,6 months,,60 hp,20,44 kW,"14,235 km",https://www.autoscout24.com//offers/renault-kangoo-express-ze-z-e-grand-confort-electric-white-2494f3d3-79f0-4d13-9383-bc2acdf7943c,"Automatic, Electric"
Renault,ZOE,2017,"48,497 km",Sedans,Grey,GRIS TITANIUM,,,Electric,Electric,,,,,,VO009003,,,"€ 10,900.-",Used,We have developed a new application design for you:,Used,,12 months,,- hp,21,- kW,"48,497 km",https://www.autoscout24.com//offers/renault-zoe-zen-gamme-2017-electric-grey-ba36b12a-e174-4368-984d-0e5f3f238207,Electric
Renault,ZOE,2015,"19,927 km",Sedans,White,blanc,,,"Automatic, Electric",Electric,Automatic,,,5,5,51140MCA,,,"€ 10,390.-",Used,We have developed a new application design for you:,Used,,,,88 hp,22,65 kW,"19,927 km",https://www.autoscout24.com//offers/renault-zoe-life-charge-normale-electric-white-1a01956b-fea3-4983-adc0-aabb6e30fd67,"Automatic, Electric"
Renault,ZOE,2019,"12,000 km",Sedans,White,blanc,,,"Automatic, Electric",Electric,Automatic,,,5,5,GW_AML607,,,"€ 14,288.-",Used,We have developed a new application design for you:,Used,,,,92 hp,23,68 kW,"12,000 km",https://www.autoscout24.com//offers/renault-zoe-life-r240-radars-gps-climaaut-bt-electric-white-d4f6e1d9-e21a-45d8-b42c-713063a138cb,"Automatic, Electric"
Renault,ZOE,2019,"26,360 km",Sedans,Beige,Beige Métal,,,"Automatic, Electric",Electric,Automatic,,,5,,16703,,1,"€ 14,299.-",Used,We have developed a new application design for you:,Used,,12 months,,94 hp,24,69 kW,"26,360 km",https://www.autoscout24.com//offers/renault-zoe-intens-charge-normale-r90-electric-beige-91bf92e5-5905-4414-8ace-b80d6dfc382c,"Automatic, Electric"
Renault,ZOE,2018,"9,348 km",Sedans,Grey,GRIS,,,"Automatic, Electric",Electric,Automatic,,,5,5,re51c2-FB-229-BT,,,"€ 14,800.-",Used,We have developed a new application design for you:,Used,,12 months,,94 hp,25,69 kW,"9,348 km",https://www.autoscout24.com//offers/renault-zoe-intens-charge-normale-r90-electric-grey-d570b981-9747-48c9-b795-45aebcc0975f,"Automatic, Electric"
Renault,ZOE,2018,"13,595 km",Sedans,Grey,Gris Foncé Métal,,,"Automatic, Electric",Electric,Automatic,,,5,,226361,,,"€ 14,500.-",Used,We have developed a new application design for you:,Used,,,,94 hp,26,69 kW,"13,595 km",https://www.autoscout24.com//offers/renault-zoe-intens-charge-normale-r90-electric-grey-7bdfcd4b-677d-4963-a785-424c21307426,"Automatic, Electric"
Audi,e-tron,2020,"5,000 km",Off-Road/Pick-up,,NOIR MYTHIC METAL,,,"Automatic, Electric",Electric,Automatic,,,5,5,au57c2-FQ-377-WT,Metallic,,"€ 94,900.-",Used,We have developed a new application design for you:,Used,,,,234 hp,27,172 kW,"5,000 km",https://www.autoscout24.com//offers/audi-e-tron-50-230ch-s-line-e-quattro-electric-14615164-2f3d-4bf5-a987-f3cbd514fc11,"Automatic, Electric"
Renault,ZOE,2015,"34,556 km",Sedans,Blue,BLEU,,,"Automatic, Electric",Electric,Automatic,,,5,5,re51c2-DW-038-ZL,,,"€ 9,200.-",Used,We have developed a new application design for you:,Used,,6 months,,90 hp,28,66 kW,"34,556 km",https://www.autoscout24.com//offers/renault-zoe-intens-charge-normale-electric-blue-4085868d-2bd0-483d-9d21-0628433e759f,"Automatic, Electric"
Citroen,C-Zero,2016,"16,070 km",Sedans,White,BLANC,,,"Automatic, Electric",Electric,Automatic,,,5,,2020153,,,"€ 9,900.-",Used,We have developed a new application design for you:,Used,,,,68 hp,29,50 kW,"16,070 km",https://www.autoscout24.com//offers/citroen-c-zero-confort-electric-white-4880190d-b9c0-4dd1-ad61-3fed2ec07195,"Automatic, Electric"
Renault,ZOE,2017,"20,522 km",Sedans,White,BLANC,,,"Automatic, Electric",Electric,Automatic,,,5,5,re13c1-EP-974-PY,,,"€ 12,490.-",Used,We have developed a new application design for you:,Used,,12 months,,94 hp,30,69 kW,"20,522 km",https://www.autoscout24.com//offers/renault-zoe-intens-charge-normale-r90-electric-white-64a37333-e5b6-417a-98f1-4ddbffe05d7f,"Automatic, Electric"
Renault,ZOE,2015,"17,616 km",Sedans,,GRIS GIVRE,,,Electric,Electric,,,,5,5,casa-DQ-130-BJ,,,"€ 11,490.-",Used,We have developed a new application design for you:,Used,,12 months,,90 hp,31,66 kW,"17,616 km",https://www.autoscout24.com//offers/renault-zoe-zen-charge-rapide-electric-9a3a5d35-4009-411c-8922-f7627003b652,Electric
BMW,i3,2020,"5,000 km",Sedans,,Capparis White uni avec lisere,,,"Automatic, Electric",Electric,Automatic,,,5,,5593022,,,"€ 32,900.-",Used,We have developed a new application design for you:,Used,,,,173 hp,32,127 kW,"5,000 km",https://www.autoscout24.com//offers/bmw-i3-170ch-120ah-ilife-atelier-electric-0e22cd1a-1ea4-4d32-b66d-dc3e0157f6df,"Automatic, Electric"
Renault,ZOE,2018,"58,093 km",Sedans,Grey,gris foncé,,,"Automatic, Electric",Electric,Automatic,,,5,,VO420345,,,"€ 11,990.-",Used,We have developed a new application design for you:,Used,,12 months,,90 hp,33,66 kW,"58,093 km",https://www.autoscout24.com//offers/renault-zoe-r90-intens-electric-grey-9c0eda6e-707d-415a-8aba-97e088f05976,"Automatic, Electric"
Renault,ZOE,2016,"19,000 km",Sedans,,TEINTE CAISSE BLANC GLACIER,,,Electric,Electric,,,,,,VO019152,,,"€ 10,290.-",Used,We have developed a new application design for you:,Used,,6 months,,- hp,34,- kW,"19,000 km",https://www.autoscout24.com//offers/renault-zoe-life-electric-afbdf970-c329-4f46-b3bd-bdb100810445,Electric
Peugeot,2008,2020,"1,000 km",Other,,,,,"Automatic, Electric",Electric,Automatic,,,5,,753752,,,"€ 41,200.-",Used,We have developed a new application design for you:,Used,,,,- hp,35,- kW,"1,000 km",https://www.autoscout24.com//offers/peugeot-2008-e-2008-136ch-gt-electric-c8008a25-92e4-4a0f-8db4-0c88dadcc442,"Automatic, Electric"
Renault,ZOE,2016,"49,480 km",Sedans,White,BLANC,,,"Automatic, Electric",Electric,Automatic,,,5,5,re13c1-DZ-787-FW,,,"€ 8,390.-",Used,We have developed a new application design for you:,Used,,6 months,,90 hp,36,66 kW,"49,480 km",https://www.autoscout24.com//offers/renault-zoe-life-charge-normale-type-2-electric-white-2f3bbd29-c140-438b-970a-40739a6b7c0d,"Automatic, Electric"
