,Make,Model,First Registration,Kilometrage (km),Body Color,Gearing Type,Nr. of Doors,Price (€),Status,Warranty (months),Horsepower (ch),Power (kW),Make-Model
61,Renault,ZOE,2016,9255,Grey,Automatic,5,9490,Used,6 ,90 ,66 ,Renault ZOE
62,Renault,ZOE,2017,46616,White,Automatic,5,8290,Used,12 ,88 ,65 ,Renault ZOE
63,Nissan,Leaf,2016,45610,White,Automatic,5,10490,Used,6 ,110 ,81 ,Nissan Leaf
64,Renault,ZOE,2016,42733,Blue,Automatic,5,8990,Used,6 ,- ,- ,Renault ZOE
65,Renault,ZOE,2019,15675,Grey,Automatic,5,12490,Used,,94 ,69 ,Renault ZOE
66,Renault,ZOE,2018,10239,White,Automatic,5,12490,Used,12 ,94 ,69 ,Renault ZOE
67,Renault,ZOE,2018,13595,Grey,Automatic,5,14490,Used,,94 ,69 ,Renault ZOE
68,BMW,i3,2019,5706,,Automatic,5,36300,Used,24 ,186 ,137 ,BMW i3
69,Renault,ZOE,2014,49987,White,Automatic,5,7980,Used,,90 ,66 ,Renault ZOE
70,Renault,ZOE,2017,21105,White,Automatic,5,12499,Used,12 ,94 ,69 ,Renault ZOE
71,Renault,ZOE,2019,15675,Grey,Automatic,5,12490,Used,,94 ,69 ,Renault ZOE
72,MINI,Cooper,2020,2500,,Automatic,5,35900,Used,,186 ,137 ,MINI Cooper
73,Renault,ZOE,2016,19000,,,,10290,Used,6 ,- ,- ,Renault ZOE
74,Renault,ZOE,2019,8183,White,Automatic,5,13290,Used,12 ,90 ,66 ,Renault ZOE
75,Renault,ZOE,2019,7511,White,Automatic,5,13490,Used,12 ,94 ,69 ,Renault ZOE
76,Renault,ZOE,2015,26338,White,Automatic,5,7490,Used,,88 ,65 ,Renault ZOE
77,Renault,Kangoo,2015,33544,White,Automatic,3,7788,Used,,60 ,44 ,Renault Kangoo
78,BMW,i3,2019,6000,Black,Automatic,5,37900,Used,,186 ,137 ,BMW i3
79,Renault,Twingo,2017,28815,Grey,Manual,5,9990,Used,12 ,90 ,66 ,Renault Twingo
80,Peugeot,208,2020,10,,Automatic,5,32390,Used,12 ,- ,- ,Peugeot 208
81,MINI,Cooper,2020,6000,,Automatic,5,36990,Used,,186 ,137 ,MINI Cooper
82,Nissan,NV200,2015,42100,White,Automatic,3,10500,Used,12 ,110 ,81 ,Nissan NV200
83,Renault,ZOE,2020,5000,Blue,Automatic,5,25590,Used,,110 ,81 ,Renault ZOE
84,Renault,ZOE,2017,32127,White,Automatic,5,9990,Used,6 ,90 ,66 ,Renault ZOE
85,Renault,ZOE,2017,31674,Blue,Automatic,5,12390,Used,6 ,94 ,69 ,Renault ZOE
86,Renault,ZOE,2017,29881,White,Automatic,5,10490,Used,12 ,94 ,69 ,Renault ZOE
87,Nissan,Leaf,2016,117151,Grey,Automatic,5,10499,Used,12 ,110 ,81 ,Nissan Leaf
88,Hyundai,Kona,2020,2000,Grey,Automatic,5,35900,Used,,207 ,152 ,Hyundai Kona
89,Renault,ZOE,2017,25861,Grey,Automatic,5,9990,Used,12 ,94 ,69 ,Renault ZOE
90,Renault,ZOE,2016,43813,White,Automatic,5,9290,Used,6 ,88 ,65 ,Renault ZOE
91,BMW,i3,2017,30891,,Automatic,5,19900,Used,24 ,173 ,127 ,BMW i3
92,BMW,i3,2016,9838,,Automatic,5,25790,Used,24 ,- ,- ,BMW i3
93,Renault,ZOE,2013,44100,White,Manual,4,11500,Used,12 ,- ,- ,Renault ZOE
94,Nissan,Leaf,2016,45318,White,Automatic,5,10490,Used,,110 ,81 ,Nissan Leaf
95,Peugeot,208,2020,2000,Grey,Automatic,5,34580,Used,12 ,- ,- ,Peugeot 208
96,BMW,i3,2017,12289,,Automatic,5,20990,Used,24 ,173 ,127 ,BMW i3
97,Peugeot,3008,2013,40356,Brown,Automatic,5,21000,Used,3 ,166 ,122 ,Peugeot 3008
98,Renault,ZOE,2018,58093,Grey,Automatic,5,11990,Used,12 ,90 ,66 ,Renault ZOE
99,BMW,i3,2017,44703,,Automatic,5,20450,Used,,173 ,127 ,BMW i3
100,Renault,ZOE,2017,37214,White,Automatic,5,10490,Used,12 ,77 ,57 ,Renault ZOE
101,BMW,i3,2017,30107,,Automatic,5,22990,Used,24 ,173 ,127 ,BMW i3
102,Renault,Kangoo,2014,14235,White,Automatic,4,8490,Used,6 ,60 ,44 ,Renault Kangoo
103,Renault,ZOE,2018,35256,White,Automatic,5,11790,Used,6 ,94 ,69 ,Renault ZOE
104,Renault,ZOE,2016,45795,White,Automatic,5,8299,Used,12 ,90 ,66 ,Renault ZOE
105,Nissan,Leaf,2019,20402,White,Automatic,5,24499,Used,12 ,152 ,112 ,Nissan Leaf
106,Nissan,Leaf,2016,45318,White,Automatic,5,10490,Used,,110 ,81 ,Nissan Leaf
107,Renault,ZOE,2016,25846,White,Automatic,5,14688,Used,,92 ,68 ,Renault ZOE
108,Renault,Kangoo Z.E.,2016,15000,White,Automatic,4,6790,Used,3 ,60 ,44 ,Renault Kangoo Z.E.
109,Renault,ZOE,2018,40107,White,Automatic,5,11390,Used,12 ,94 ,69 ,Renault ZOE
110,Renault,ZOE,2015,19927,White,Automatic,5,10390,Used,,88 ,65 ,Renault ZOE
111,Audi,e-tron,2020,12000,Blue,Automatic,4,81948,Used,,- ,- ,Audi e-tron
112,Renault,ZOE,2017,23629,White,Automatic,5,12499,Used,12 ,94 ,69 ,Renault ZOE
113,smart,forFour,2019,1895,Silver,Automatic,5,19900,Used,24 ,82 ,60 ,smart forFour
114,Nissan,NV200,2015,42100,White,Automatic,3,10500,Used,12 ,110 ,81 ,Nissan NV200
115,Nissan,Leaf,2016,45610,White,Automatic,5,10490,Used,6 ,110 ,81 ,Nissan Leaf
116,Renault,ZOE,2013,16648,Black,Automatic,,11500,Used,12 ,- ,- ,Renault ZOE
117,Nissan,Leaf,2018,10,Grey,Automatic,5,24580,Used,36 ,150 ,110 ,Nissan Leaf
118,Nissan,Leaf,2016,117151,Grey,Automatic,5,10499,Used,12 ,110 ,81 ,Nissan Leaf
119,Renault,ZOE,2017,52721,White,Automatic,5,9490,Used,6 ,75 ,55 ,Renault ZOE
120,Renault,ZOE,2015,64772,Grey,Automatic,5,7990,Used,6 ,88 ,65 ,Renault ZOE
121,Renault,ZOE,2017,37691,Red,Automatic,5,9390,Used,6 ,- ,- ,Renault ZOE
122,Renault,ZOE,2018,8423,White,,,14490,Used,12 ,- ,- ,Renault ZOE
123,Renault,ZOE,2018,18266,Grey,Automatic,5,14900,Used,12 ,110 ,81 ,Renault ZOE
124,Nissan,Leaf,2016,17529,White,Automatic,5,11990,Used,12 ,110 ,81 ,Nissan Leaf
125,Peugeot,208,,248,Yellow,Automatic,5,29810,Used,,136 ,100 ,Peugeot 208
126,Renault,ZOE,2016,13708,Blue,Automatic,5,9480,Used,,90 ,66 ,Renault ZOE
127,Renault,ZOE,2018,19714,White,Automatic,5,11490,Used,12 ,94 ,69 ,Renault ZOE
128,Renault,ZOE,2014,49987,White,Automatic,5,7980,Used,,90 ,66 ,Renault ZOE
129,Nissan,Leaf,2019,18854,White,Automatic,5,23690,Used,12 ,152 ,112 ,Nissan Leaf
130,Renault,ZOE,2017,8964,White,Automatic,5,11490,Used,12 ,88 ,65 ,Renault ZOE
131,Nissan,Leaf,2016,38800,White,Automatic,5,10490,Used,12 ,110 ,81 ,Nissan Leaf
132,Renault,ZOE,2017,24665,,Automatic,5,12490,Used,6 ,90 ,66 ,Renault ZOE
133,Renault,ZOE,2017,40144,White,Automatic,5,10299,Used,12 ,94 ,69 ,Renault ZOE
134,Renault,ZOE,2016,20677,White,Automatic,5,10690,Used,12 ,- ,- ,Renault ZOE
135,Audi,e-tron,2020,3000,Black,Automatic,5,69990,Used,,234 ,172 ,Audi e-tron
136,Peugeot,208,2020,6000,Grey,Automatic,5,25399,Used,12 ,- ,- ,Peugeot 208
137,Nissan,Leaf,2016,45610,White,Automatic,5,10490,Used,6 ,110 ,81 ,Nissan Leaf
138,Nissan,Leaf,2019,10043,White,Automatic,5,27682,Used,,152 ,112 ,Nissan Leaf
139,MINI,Cooper,2020,250,Blue,Automatic,3,40800,Used,,186 ,137 ,MINI Cooper
140,BMW,i3,2020,2500,,Automatic,5,36500,Used,,173 ,127 ,BMW i3
141,Citroen,C-Zero,2012,35000,,Automatic,5,7490,Used,,- ,- ,Citroen C-Zero
142,Nissan,Leaf,2016,45041,White,Automatic,5,10490,Used,6 ,110 ,81 ,Nissan Leaf
143,MINI,Cooper,2020,5000,,Automatic,3,40800,Used,,186 ,137 ,MINI Cooper
144,Renault,ZOE,2017,12267,,Automatic,5,9290,Used,12 ,77 ,57 ,Renault ZOE
145,Renault,ZOE,2017,59121,White,Automatic,5,10600,Used,6 ,75 ,55 ,Renault ZOE
146,Nissan,Leaf,2014,66614,White,Automatic,5,10990,Used,,110 ,81 ,Nissan Leaf
147,BMW,i3,2016,16063,,Automatic,5,21999,Used,24 ,- ,- ,BMW i3
